Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League,Team,Position,Age,Avg_Salary,salary_float
Tiffany Mitchell,19,11,502,3.9,11.3,0.34600000000000003,0.9,3.8,0.233,3.0,7.4,0.40399999999999997,4.1,4.3,0.951,0.8,2.5999999999999996,3.4,2.6,0.6,0.1,2.4,2.6,12.7,WNBA,  IND,G,26,"$144,242  ",
Tianna Hawkins,17,5,329,3.1,7.6,0.408,1.0,3.4,0.298,2.1,4.3,0.493,1.3,1.5,0.846,0.7,2.8,3.5,1.0,0.8,0.4,1.2,2.6,8.5,WNBA,  ATL,F,30,"$142,100  ",
Leilani Mitchell,22,22,673,3.3,8.1,0.408,1.3,4.3,0.305,2.0,3.8,0.524,1.5,1.8,0.872,0.5,2.3,2.8,5.4,0.8,0.0,1.7,2.1,9.5,WNBA,  WAS,G,35,"$125,250  ",
Brionna Jones,21,21,549,4.7,7.7,0.605,0.0,0.0,1.0,4.6,7.7,0.602,1.8,2.6,0.691,2.8,2.8,5.6,1.0,1.7,0.7,1.6,3.1,11.2,WNBA,  CON,C,25,"$120,000  ",
Layshia Clarendon,19,19,496,3.9,8.4,0.465,0.8,2.3,0.341,3.1,6.1,0.513,2.9,3.3,0.873,0.3,2.2,2.5,3.9,0.9,0.0,3.4,2.9,11.5,WNBA,  NY,G,29,"$120,000  ",
Briann January,13,10,303,1.7,5.8,0.293,0.8,2.4,0.355,0.8,3.4,0.25,0.8,0.9,0.833,0.3,0.8999999999999999,1.2,3.4,0.6,0.2,1.2,1.9,5.0,WNBA,  CON,G,34,"$119,500  ",
Jewell Loyd,22,22,613,5.1,11.5,0.44299999999999995,1.8,4.5,0.39,3.3,7.0,0.47700000000000004,3.5,4.0,0.875,0.6,1.7999999999999998,2.4,3.2,1.5,0.3,1.9,1.5,15.5,WNBA,  SEA,G,27,"$119,500  ",
Dearica Hamby,22,0,622,5.0,9.3,0.539,0.8,1.7,0.474,4.2,7.5,0.5539999999999999,2.2,3.0,0.716,1.3,5.8,7.1,2.7,1.7,0.2,2.0,2.3,13.0,WNBA,  LV,F,27,"$117,000  ",
Elizabeth Williams,22,22,647,4.0,8.1,0.489,0.0,0.0,,4.0,8.1,0.489,2.2,3.0,0.742,2.2,3.5,5.7,1.4,0.8,1.4,1.1,2.6,10.1,WNBA,  ATL,C,27,"$116,000  ",
Sylvia Fowles,7,7,168,5.6,9.1,0.609,0.0,0.0,,5.6,9.1,0.609,3.4,4.1,0.828,3.0,6.699999999999999,9.7,0.9,0.9,1.1,1.1,2.6,14.6,WNBA,  MIN,C,35,"$115,627  ",
Epiphanny Prince,15,0,190,1.5,3.8,0.386,0.6,1.8,0.33299999999999996,0.9,2.0,0.433,0.7,0.9,0.846,0.1,1.0999999999999999,1.2,1.4,0.4,0.1,0.8,1.5,4.3,WNBA,  SEA,G,33,"$115,000  ",
Brittney Sykes,21,14,517,3.5,7.1,0.48700000000000004,0.8,2.3,0.327,2.7,4.8,0.564,2.4,3.0,0.8059999999999999,0.8,1.8,2.6,2.1,1.5,0.3,1.7,3.0,10.1,WNBA,  LA,G,27,"$111,650  ",
Kia Vaughn,22,10,415,2.8,5.8,0.488,0.0,0.1,0.0,2.8,5.7,0.496,0.5,0.9,0.579,1.1,2.5,3.6,1.5,0.5,0.3,1.5,1.8,6.1,WNBA,  PHX,C,34,"$110,000  ",
Damiris Dantas,22,22,586,4.6,10.0,0.46399999999999997,1.8,4.1,0.433,2.9,5.9,0.485,1.8,2.5,0.727,1.7,4.3999999999999995,6.1,2.6,1.1,0.2,1.8,2.5,12.9,WNBA,  MIN,F,28,"$105,000  ",
Kayla Thornton,22,14,557,2.5,5.7,0.429,1.1,3.3,0.34700000000000003,1.3,2.5,0.537,1.3,1.5,0.875,1.5,3.5999999999999996,5.1,0.8,0.9,0.2,1.1,3.0,7.3,WNBA,  DAL,F,28,"$101,985  ",
Rachel Banham,20,1,339,2.4,5.2,0.462,1.3,2.7,0.47200000000000003,1.2,2.6,0.451,0.8,1.0,0.8,0.1,1.2,1.3,2.4,0.5,0.1,1.0,2.0,6.9,WNBA,  MIN,G,27,"$101,500  ",
Riquna Williams,21,4,444,3.9,8.9,0.435,2.0,4.9,0.42200000000000004,1.8,4.0,0.452,0.8,0.9,0.889,0.1,1.7,1.8,1.5,1.1,0.3,0.9,2.0,10.5,WNBA,  LV,G,30,"$91,250  ",
Tierra Ruffin-Pratt,17,10,251,0.7,2.6,0.267,0.4,0.8,0.462,0.4,1.9,0.188,1.1,1.5,0.731,0.5,1.6,2.1,0.9,0.6,0.2,0.5,1.6,2.9,WNBA,  LA,G,30,"$90,000  ",
Shatori Walker-Kimbrough,21,10,400,2.6,6.0,0.429,1.0,2.4,0.431,1.5,3.6,0.42700000000000005,1.1,1.2,0.92,0.3,1.3,1.6,1.5,1.1,0.4,1.0,1.1,7.3,WNBA,  ATL,G,25,"$85,000  ",
Sydney Wiese,19,15,363,2.5,4.9,0.505,1.3,2.8,0.47200000000000003,1.2,2.1,0.55,0.6,0.6,0.917,0.3,1.4,1.7,1.2,0.6,0.1,1.2,0.9,6.8,WNBA,  LA,G,25,"$76,800  ",
Odyssey Sims,13,7,240,3.2,8.0,0.40399999999999997,0.6,1.8,0.33299999999999996,2.6,6.2,0.425,2.3,2.5,0.909,0.6,1.4,2.0,3.5,0.5,0.1,1.9,1.7,9.4,WNBA,  ATL,G,28,"$75,000  ",
Erica McCall,20,0,183,0.8,2.3,0.35600000000000004,0.1,0.2,0.25,0.8,2.1,0.366,0.9,1.1,0.818,1.2,1.3,2.5,0.2,0.4,0.4,0.5,1.2,2.6,WNBA,  WAS,F,25,"$73,000  ",
Kiah Stokes,22,22,601,2.3,6.2,0.37200000000000005,0.9,3.9,0.235,1.4,2.4,0.596,0.2,0.3,0.5710000000000001,1.3,5.4,6.7,1.2,0.5,1.2,1.3,2.0,5.7,WNBA,  NY,C,28,"$71,633  ",
Sabrina Ionescu,3,3,80,6.3,14.0,0.452,2.3,6.7,0.35,4.0,7.3,0.545,3.3,3.3,1.0,0.7,4.0,4.7,4.0,0.7,0.0,4.3,1.3,18.3,WNBA,  NY,G,23,"$71,199  ",
Satou Sabally,16,14,450,4.2,11.4,0.368,0.8,4.1,0.19699999999999998,3.4,7.3,0.466,4.7,5.4,0.872,2.6,5.199999999999999,7.8,2.5,0.9,0.9,2.2,3.1,13.9,WNBA,  DAL,F,22,"$71,199  ",
Lauren Cox,14,1,183,1.3,3.1,0.419,0.2,0.4,0.5,1.1,2.6,0.405,0.8,1.1,0.733,0.7,2.5999999999999996,3.3,1.4,0.4,0.3,0.8,1.4,3.6,WNBA,  IND,F,23,"$71,199  ",
Chennedy Carter,16,16,406,6.6,14.0,0.473,0.8,2.0,0.375,5.9,12.0,0.49,3.4,4.2,0.821,0.5,1.7999999999999998,2.3,3.4,0.9,0.3,2.7,3.6,17.4,WNBA,  ATL,G,22,"$71,199  ",
Bria Holmes,18,4,291,1.9,5.4,0.35700000000000004,0.6,1.7,0.33299999999999996,1.4,3.8,0.368,0.4,0.7,0.667,0.7,1.1,1.8,1.1,0.7,0.3,1.0,0.9,4.9,WNBA,  LA,G,27,"$70,040  ",
Lindsay Allen,21,21,284,1.3,3.1,0.424,0.3,0.8,0.353,1.0,2.3,0.449,0.4,0.5,0.8,0.3,0.8,1.1,2.4,0.3,0.0,0.8,1.0,3.3,WNBA,  IND,G,26,"$70,040  ",
Kaela Davis,2,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WNBA,  ATL,F,26,"$70,040  ",
Theresa Plaisance,13,0,90,0.8,2.2,0.379,0.4,1.3,0.294,0.5,0.9,0.5,0.4,0.5,0.833,0.2,0.8,1.0,0.1,0.4,0.2,0.2,1.5,2.5,WNBA,  WAS,F,28,"$70,040  ",
Astou Ndour,13,7,151,1.5,4.4,0.35100000000000003,0.5,1.9,0.24,1.1,2.5,0.43799999999999994,0.0,0.0,,1.0,1.9,2.9,0.5,0.2,0.5,0.5,2.2,3.5,WNBA,  CHI,C,26,"$70,040  ",
Alexis Prince,2,0,16,1.5,2.5,0.6,1.0,1.5,0.667,0.5,1.0,0.5,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.5,0.0,0.5,4.0,WNBA,  CHI,G,27,"$70,040  ",
Seimone Augustus,21,0,332,2.6,5.2,0.491,0.6,1.0,0.545,2.0,4.2,0.47700000000000004,0.2,0.3,0.667,0.1,1.7,1.8,1.2,0.6,0.1,0.4,1.0,5.9,WNBA,  LA,G,36,"$70,040  ",
Nia Coffey,15,1,230,1.1,2.5,0.42100000000000004,0.5,1.4,0.33299999999999996,0.6,1.1,0.529,0.1,0.4,0.16699999999999998,0.3,2.2,2.5,0.8,0.3,0.3,0.5,2.0,2.7,WNBA,  LA,F,25,"$70,040  ",
Bella Alarie,22,3,309,1.1,3.0,0.364,0.0,0.6,0.077,1.0,2.4,0.434,0.5,0.5,0.833,1.0,1.9,2.9,0.5,0.6,0.8,0.5,1.6,2.7,WNBA,  DAL,G,22,"$68,339  ",
Tyasha Harris,21,3,412,2.6,6.0,0.433,0.9,2.7,0.33899999999999997,1.7,3.4,0.507,0.7,1.0,0.636,0.0,1.2,1.2,2.7,0.9,0.1,0.9,1.7,6.8,WNBA,  DAL,G,22,"$68,339  ",
Mikiah Herbert Harrigan,21,0,234,1.4,3.9,0.366,0.7,1.6,0.424,0.8,2.3,0.327,0.2,0.3,0.7140000000000001,0.7,1.5999999999999999,2.3,0.3,0.4,0.4,0.7,1.0,3.8,WNBA,  SEA,F,22,"$68,339  ",
Ruthy Hebard,22,6,320,2.6,3.9,0.682,0.0,0.0,,2.6,3.9,0.682,0.4,0.5,0.75,0.8,3.0999999999999996,3.9,0.3,0.5,0.4,0.7,1.6,5.7,WNBA,  CHI,F,22,"$68,339  ",
Jazmine Jones,20,2,428,3.5,8.6,0.40399999999999997,0.8,2.3,0.33299999999999996,2.7,6.3,0.429,3.2,4.0,0.7879999999999999,0.9,3.1999999999999997,4.1,2.3,1.4,0.5,2.9,3.0,10.8,WNBA,  NY,G,24,"$65,459  ",
Jocelyn Willoughby,22,5,383,1.8,5.0,0.358,0.7,1.7,0.405,1.1,3.3,0.33299999999999996,1.6,1.9,0.833,0.7,1.7,2.4,0.9,0.7,0.3,1.5,2.3,5.8,WNBA,  NY,F,23,"$65,459  ",
Megan Walker,18,0,205,1.4,4.3,0.321,0.3,2.4,0.14,1.1,1.9,0.5429999999999999,0.2,0.3,0.6,0.6,0.9,1.5,0.3,0.2,0.0,0.4,0.8,3.3,WNBA,  PHX,F,22,"$65,459  ",
