Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League,Team,Position,Age,Avg_Salary,salary_float
Buddy Hield,58,58,34.3,5.7,14.1,.404,4.0,10.4,.385,1.7,3.7,.458,1.2,1.5,.837,0.4,4.1,4.5,3.1,0.8,0.4,1.7,2.5,16.6,NBA,  SAC,SG, 27 ,"$23,500,000  ",23500000.0
Jrue Holiday,45,42,31.9,6.9,13.6,.506,1.9,4.7,.404,5.0,8.8,.560,1.7,2.0,.837,1.3,3.2,4.5,5.5,1.8,0.5,2.1,1.7,17.4,NBA,  MIL,SG, 30 ,"$25,200,000  ",25200000.0
Al Horford,28,28,27.9,5.8,12.9,.450,2.0,5.4,.368,3.8,7.4,.510,0.6,0.8,.818,1.0,5.7,6.7,3.4,0.9,0.9,1.0,1.7,14.2,NBA,  OKC,PF, 34 ,"$27,250,000  ",27250000.0
Andre Iguodala,52,4,21.5,1.6,4.2,.385,1.0,3.2,.329,0.6,1.0,.556,0.4,0.7,.647,0.6,3.1,3.7,2.2,1.0,0.5,1.0,1.4,4.7,NBA,  MIA,SF, 36 ,"$15,000,000  ",15000000.0
Joe Ingles,54,17,27.2,4.2,8.0,.525,2.9,5.8,.494,1.4,2.2,.608,1.1,1.3,.857,0.4,3.3,3.7,4.4,0.7,0.2,1.6,1.9,12.4,NBA,  UTH,SF, 32 ,"$13,000,000  ",13000000.0
Brandon Ingram,53,53,34.7,8.5,18.2,.468,2.4,6.2,.382,6.2,12.0,.513,4.8,5.4,.885,0.6,4.4,4.9,4.8,0.7,0.7,2.5,2.0,24.2,NBA,  NOP,SF, 23 ,"$31,650,600  ",31650600.0
Kyrie Irving,43,43,35.2,10.5,20.4,.513,2.7,6.9,.391,7.8,13.5,.575,3.8,4.1,.916,1.1,3.8,4.8,6.2,1.3,0.6,2.4,2.7,27.4,NBA,  BKN,PG, 28 ,"$34,122,650  ",34122650.0
LeBron James,41,41,33.9,9.5,18.4,.513,2.4,6.5,.368,7.1,12.0,.592,4.1,5.8,.703,0.6,7.3,7.9,7.9,1.0,0.6,3.7,1.6,25.4,NBA,  LAL,SF, 35 ,"$38,328,212  ",38328212.0
James Johnson,40,6,20.1,2.7,6.1,.442,0.6,2.4,.260,2.1,3.7,.562,0.9,1.3,.642,0.6,2.7,3.3,2.0,0.9,0.9,1.1,2.3,6.8,NBA,  NOP,PF, 33 ,"$14,431,700  ",14431700.0
Cory Joseph,58,8,22.6,3.0,6.4,.463,0.7,2.1,.336,2.3,4.4,.522,1.2,1.4,.807,0.6,1.9,2.5,3.2,1.0,0.3,1.2,2.2,7.8,NBA,  DET,PG, 29 ,"$12,400,000  ",12400000.0
Zach LaVine,53,53,35.2,9.8,19.4,.506,3.4,8.2,.416,6.4,11.2,.572,4.4,5.2,.848,0.6,4.5,5.1,5.1,0.8,0.5,3.6,2.3,27.5,NBA,  CHI,SG, 25 ,"$19,500,000  ",19500000.0
Kawhi Leonard,46,46,34.4,9.4,18.2,.516,2.0,5.0,.393,7.4,13.2,.562,5.0,5.7,.878,1.1,5.5,6.7,5.1,1.7,0.4,2.0,1.7,25.7,NBA,  LAC,SF, 29 ,"$34,379,100  ",34379100.0
Caris LeVert,34,26,30.9,7.1,16.5,.431,1.7,5.6,.305,5.4,10.9,.495,2.6,3.2,.800,0.8,3.7,4.5,4.8,1.5,0.5,2.0,2.1,18.5,NBA,  IND,SG, 26 ,"$17,500,000  ",17500000.0
Damian Lillard,53,53,35.9,8.8,20.2,.439,4.0,10.8,.375,4.8,9.4,.511,6.8,7.4,.926,0.5,3.7,4.2,7.6,0.9,0.3,3.2,1.6,28.6,NBA,  POR,PG, 30 ,"$27,977,689  ",27977689.0
